epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.391,1.4634,2.10673,1.42635,0.88317,0.83752,0.88106,0.49853,1.30888,1.72492,1.15561,0.000552562,0.000552562,0.000552562
2,1141.97,1.51657,1.44918,1.43765,0.69942,0.88276,0.82487,0.39637,1.52905,2.12195,1.43922,0.00108629,0.00108629,0.00108629
3,1710.11,1.51165,1.28232,1.45206,0.90351,0.84853,0.91986,0.51895,1.37322,1.12779,1.25131,0.00159801,0.00159801,0.00159801
4,2271.41,1.49536,1.12425,1.42111,0.98488,0.94385,0.98358,0.62773,1.23322,0.79135,1.19363,0.00156798,0.00156798,0.00156798
5,2831.97,1.44833,1.06567,1.39468,0.93928,0.91895,0.97855,0.5533,1.41412,0.94918,1.27216,0.00153497,0.00153497,0.00153497
6,3390,1.41272,1.00867,1.36422,0.90718,0.92475,0.97411,0.59474,1.29708,0.77861,1.21905,0.00150197,0.00150197,0.00150197
7,3952.78,1.38319,0.95749,1.35339,0.97645,0.96358,0.99181,0.60887,1.3556,0.66665,1.22151,0.00146896,0.00146896,0.00146896
8,4515.83,1.3556,0.92757,1.34524,0.98486,0.96594,0.98872,0.65354,1.2089,0.63546,1.1343,0.00143595,0.00143595,0.00143595
9,5078.17,1.34092,0.9224,1.33355,0.97201,0.97882,0.99273,0.66104,1.14414,0.65544,1.12967,0.00140295,0.00140295,0.00140295
10,5645.02,1.33203,0.8811,1.31383,0.97303,0.9647,0.98853,0.62279,1.24063,0.62944,1.17121,0.00136994,0.00136994,0.00136994
11,6210.27,1.31049,0.86003,1.30837,0.96595,0.95588,0.99204,0.64535,1.22268,0.60825,1.12802,0.00133693,0.00133693,0.00133693
12,6777.28,1.28352,0.8252,1.29287,0.96943,0.9635,0.98774,0.59776,1.3351,0.61443,1.21047,0.00130393,0.00130393,0.00130393
13,7345.01,1.28611,0.83126,1.29677,0.96503,0.98879,0.99328,0.65905,1.2294,0.56405,1.1167,0.00127092,0.00127092,0.00127092
14,7916.62,1.27434,0.80913,1.27968,0.98896,0.99322,0.99466,0.67874,1.13845,0.5334,1.08995,0.00123791,0.00123791,0.00123791
15,8486.82,1.26698,0.81154,1.28084,0.98344,0.98676,0.9939,0.66912,1.12405,0.54582,1.08932,0.00120491,0.00120491,0.00120491
16,9055.86,1.26062,0.79046,1.26462,0.98783,0.99084,0.99412,0.66248,1.19175,0.55084,1.10657,0.0011719,0.0011719,0.0011719
17,9624,1.23552,0.77572,1.26666,0.99341,0.98297,0.99441,0.67867,1.1522,0.53915,1.09667,0.00113889,0.00113889,0.00113889
18,10190,1.23495,0.76068,1.26277,0.98996,0.96832,0.99422,0.6753,1.18391,0.53024,1.13038,0.00110589,0.00110589,0.00110589
19,10770,1.23069,0.75782,1.26309,0.98958,0.99294,0.99397,0.67312,1.1491,0.50495,1.11104,0.00107288,0.00107288,0.00107288
20,11352.8,1.23614,0.74473,1.25347,0.99529,0.99775,0.99482,0.68694,1.12732,0.51697,1.09585,0.00103987,0.00103987,0.00103987
21,11935.1,1.21294,0.74164,1.25234,0.98939,0.99534,0.99418,0.67259,1.15964,0.52586,1.10476,0.00100687,0.00100687,0.00100687
22,12518.5,1.19163,0.72378,1.23431,0.99416,0.99625,0.99464,0.69024,1.15588,0.48982,1.08292,0.000973861,0.000973861,0.000973861
23,13101.4,1.19741,0.70841,1.23406,0.98899,0.98138,0.99435,0.69663,1.13845,0.49208,1.08568,0.000940855,0.000940855,0.000940855
24,13687.3,1.18562,0.70746,1.23457,0.99004,0.99309,0.99473,0.69549,1.12171,0.49409,1.07288,0.000907848,0.000907848,0.000907848
25,14273.8,1.17387,0.68953,1.22667,0.99426,0.99775,0.99486,0.67549,1.16663,0.5042,1.10796,0.000874842,0.000874842,0.000874842
26,14861.2,1.20505,0.70039,1.24057,0.98668,0.9955,0.99455,0.70005,1.12018,0.49559,1.08413,0.000841835,0.000841835,0.000841835
27,15450.3,1.17006,0.68342,1.22155,0.98228,0.99248,0.9945,0.68527,1.12222,0.48703,1.07289,0.000808828,0.000808828,0.000808828
28,16037.8,1.16539,0.66711,1.219,0.99145,0.99775,0.99468,0.693,1.11142,0.47272,1.05553,0.000775822,0.000775822,0.000775822
29,16624.8,1.15263,0.66319,1.2209,0.99305,0.99534,0.99366,0.6542,1.24504,0.52665,1.14193,0.000742815,0.000742815,0.000742815
30,17214.4,1.15966,0.67282,1.21352,0.99636,0.99775,0.99475,0.69248,1.12228,0.46593,1.07738,0.000709809,0.000709809,0.000709809
31,17801.9,1.14982,0.66509,1.20479,0.99621,0.99775,0.99489,0.70479,1.11095,0.44983,1.05264,0.000676802,0.000676802,0.000676802
32,18381.2,1.1452,0.65312,1.20271,0.99418,0.9955,0.99484,0.69905,1.11618,0.45485,1.06267,0.000643795,0.000643795,0.000643795
33,18964.5,1.15018,0.65515,1.20807,0.99638,1,0.995,0.68841,1.15035,0.47299,1.10013,0.000610789,0.000610789,0.000610789
34,19549.8,1.1301,0.64143,1.20139,0.99119,0.99164,0.99353,0.67783,1.1536,0.44921,1.09918,0.000577782,0.000577782,0.000577782
35,20141.1,1.1159,0.63616,1.19777,0.98995,0.99456,0.99283,0.68328,1.12528,0.45833,1.07739,0.000544776,0.000544776,0.000544776
36,20732.9,1.11133,0.6284,1.19178,0.99598,0.99461,0.99484,0.69928,1.12542,0.44681,1.07134,0.000511769,0.000511769,0.000511769
37,21322.7,1.12137,0.6199,1.19553,0.99714,0.99486,0.99482,0.70278,1.1059,0.44122,1.07581,0.000478762,0.000478762,0.000478762
38,21915.8,1.1081,0.6228,1.18918,0.99595,0.99775,0.99468,0.68894,1.11155,0.44304,1.06852,0.000445756,0.000445756,0.000445756
39,22503.6,1.09542,0.61298,1.18088,0.99676,0.99775,0.99482,0.70395,1.1029,0.44045,1.06225,0.000412749,0.000412749,0.000412749
40,23096.8,1.10352,0.61056,1.17516,0.99726,0.99775,0.99486,0.69739,1.10824,0.42997,1.07243,0.000379743,0.000379743,0.000379743
41,23685,1.12786,0.52797,1.21147,0.99275,0.99718,0.99475,0.6985,1.11256,0.43469,1.06266,0.000346736,0.000346736,0.000346736
42,24274.4,1.10398,0.53074,1.19142,0.99612,0.99775,0.99489,0.70811,1.09282,0.4306,1.05445,0.000313729,0.000313729,0.000313729
43,24862.9,1.10003,0.508,1.18999,0.99812,0.99879,0.995,0.70309,1.11075,0.42801,1.06622,0.000280723,0.000280723,0.000280723
44,25452.6,1.08929,0.50769,1.18802,0.99407,0.9946,0.99468,0.68098,1.15321,0.4494,1.09196,0.000247716,0.000247716,0.000247716
45,26041.5,1.0811,0.50384,1.18068,0.99185,0.99405,0.99461,0.69016,1.10976,0.4528,1.07608,0.00021471,0.00021471,0.00021471
46,26621.5,1.06815,0.48923,1.17444,0.99613,0.99775,0.99484,0.70841,1.08923,0.42968,1.05558,0.000181703,0.000181703,0.000181703
47,27212.9,1.06586,0.49315,1.16939,0.99632,0.99775,0.9948,0.69879,1.10416,0.42957,1.06059,0.000148696,0.000148696,0.000148696
48,27802.7,1.05133,0.48531,1.16629,0.99888,1,0.995,0.69878,1.10963,0.43552,1.05902,0.00011569,0.00011569,0.00011569
49,28395.6,1.03928,0.47873,1.16267,0.99619,0.99775,0.9948,0.69742,1.11493,0.42509,1.06003,8.26832e-05,8.26832e-05,8.26832e-05
50,28988.1,1.03609,0.47242,1.15316,0.99645,0.99775,0.99484,0.69976,1.10019,0.41521,1.05468,4.96766e-05,4.96766e-05,4.96766e-05
