epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,687.917,0.30458,1.01695,1.05086,0.73364,0.88849,0.79031,0.58384,0.74901,1.855,0.97827,0.00066369,0.00066369,0.00066369
2,1387.34,0.26629,0.50807,1.01155,0.81255,0.95601,0.91927,0.74749,0.69219,1.16765,0.91955,0.0013128,0.0013128,0.0013128
3,2088,0.26305,0.41035,1.00495,0.6978,0.71848,0.75189,0.49913,1.26782,2.1353,1.24078,0.0019443,0.0019443,0.0019443
4,2790.05,0.23842,0.34996,0.98919,0.85705,0.85337,0.9443,0.8079,0.57522,0.82537,0.66428,0.0019208,0.0019208,0.0019208
5,3491.8,0.21506,0.2961,0.97019,0.7945,0.91833,0.9282,0.64168,0.81786,1.47585,0.76025,0.0018944,0.0018944,0.0018944
6,4192.03,0.19175,0.26457,0.95957,0.9172,0.97947,0.98972,0.90838,0.4557,0.58457,0.67344,0.001868,0.001868,0.001868
7,4892.79,0.18243,0.25297,0.95506,0.87149,0.91479,0.94196,0.73016,0.68053,0.79664,0.6604,0.0018416,0.0018416,0.0018416
8,5592.48,0.16094,0.23054,0.94463,0.99081,0.99413,0.99473,0.90125,0.38334,0.36226,0.49894,0.0018152,0.0018152,0.0018152
9,6291.96,0.1593,0.22541,0.94701,0.97657,1,0.98903,0.92949,0.39614,0.37812,0.51982,0.0017888,0.0017888,0.0017888
10,7000.42,0.14488,0.20182,0.93225,1,0.997,0.995,0.98561,0.41632,0.43286,0.50645,0.0017624,0.0017624,0.0017624
11,7699.13,0.13776,0.20052,0.93086,0.97891,0.9912,0.9899,0.98671,0.31337,0.34094,0.45362,0.001736,0.001736,0.001736
12,8400.58,0.13088,0.18748,0.92274,0.96563,0.98857,0.9917,0.94716,0.48912,0.47514,0.66239,0.0017096,0.0017096,0.0017096
13,9095.4,0.12474,0.17579,0.91992,0.94627,0.98139,0.98203,0.9344,0.37743,0.49883,0.50471,0.0016832,0.0016832,0.0016832
14,9795.05,0.12266,0.17438,0.91873,0.96565,0.98919,0.99364,0.97315,0.35136,0.40649,0.48791,0.0016568,0.0016568,0.0016568
15,10498.8,0.11872,0.16974,0.91723,0.6853,0.81525,0.71705,0.59491,0.51415,1.0555,0.61103,0.0016304,0.0016304,0.0016304
16,11197.4,0.11226,0.16386,0.91682,0.97699,0.9963,0.99218,0.98415,0.28656,0.3561,0.43203,0.001604,0.001604,0.001604
17,11901.1,0.11436,0.16464,0.91998,0.99707,0.99954,0.995,0.89124,0.34386,0.32802,0.47085,0.0015776,0.0015776,0.0015776
18,12604.3,0.11182,0.16545,0.91408,0.9946,1,0.995,0.98597,0.34598,0.30095,0.47403,0.0015512,0.0015512,0.0015512
19,13307.7,0.10927,0.16142,0.91483,0.97705,0.99883,0.99432,0.98254,0.31636,0.27561,0.47792,0.0015248,0.0015248,0.0015248
20,14013,0.10954,0.16077,0.91328,0.99973,1,0.995,0.90894,0.37149,0.36512,0.44792,0.0014984,0.0014984,0.0014984
21,14716.3,0.09954,0.14902,0.90811,0.99944,1,0.995,0.90745,0.3332,0.36123,0.41009,0.001472,0.001472,0.001472
22,15417.7,0.10091,0.1543,0.91382,0.97402,1,0.99328,0.84493,0.47686,0.49085,0.47866,0.0014456,0.0014456,0.0014456
23,16115.1,0.09401,0.14046,0.90463,0.99522,1,0.995,0.98697,0.34494,0.37273,0.44498,0.0014192,0.0014192,0.0014192
24,16815.6,0.09365,0.14164,0.90624,0.98643,0.99707,0.99474,0.97435,0.32768,0.24927,0.45364,0.0013928,0.0013928,0.0013928
25,17513.7,0.08582,0.12996,0.90647,0.98561,0.99707,0.99497,0.94518,0.33679,0.30228,0.46516,0.0013664,0.0013664,0.0013664
